,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,-7.024,0.076,-7.176,-6.887,0.001,0.002,2619.0,1350.0,1.0
beta[0],0.065,0.337,-0.547,0.719,0.008,0.008,1716.0,1432.0,1.0
beta[1],-0.314,0.202,-0.667,0.099,0.005,0.004,1432.0,1435.0,1.0
beta[2],-0.071,0.157,-0.353,0.24,0.004,0.003,1745.0,1584.0,1.0
beta[3],0.069,0.186,-0.279,0.412,0.004,0.004,1812.0,1532.0,1.0
beta[4],0.103,0.144,-0.189,0.365,0.004,0.003,1657.0,1441.0,1.0
beta[5],-0.107,0.128,-0.337,0.142,0.003,0.002,1613.0,1452.0,1.0
beta[6],-0.05,0.198,-0.402,0.337,0.005,0.004,1506.0,1477.0,1.0
beta[7],-0.234,0.199,-0.605,0.121,0.005,0.004,1770.0,1495.0,1.0
beta[8],-0.048,0.097,-0.233,0.132,0.002,0.002,2462.0,1461.0,1.0
beta[9],0.033,0.111,-0.198,0.215,0.002,0.002,2444.0,1605.0,1.0
beta[10],0.173,0.122,-0.038,0.415,0.003,0.003,2179.0,1265.0,1.0
gamma[0],0.542,0.184,0.216,0.887,0.005,0.004,1414.0,1664.0,1.0
gamma[1],0.324,0.225,-0.093,0.747,0.006,0.004,1402.0,1532.0,1.0
overdispersion_alpha,5.394,1.168,3.227,7.549,0.025,0.027,2178.0,1336.0,1.0
