geo_id,bayes_spatial_top_k_probability,top_k,n_posterior_draws
24030,0.9255,10,2000
24028,0.872,10,2000
24019,0.856,10,2000
24004,0.7225,10,2000
24043,0.715,10,2000
24024,0.675,10,2000
24013,0.533,10,2000
24051,0.5195,10,2000
24045,0.505,10,2000
24047,0.443,10,2000
24027,0.357,10,2000
24008,0.3225,10,2000
24020,0.3195,10,2000
24017,0.3115,10,2000
24035,0.232,10,2000
24023,0.1735,10,2000
24052,0.1705,10,2000
24005,0.162,10,2000
24009,0.1355,10,2000
24032,0.134,10,2000
24011,0.1235,10,2000
24058,0.115,10,2000
24048,0.1115,10,2000
24006,0.1085,10,2000
24018,0.0805,10,2000
24037,0.0545,10,2000
24014,0.0425,10,2000
24021,0.0375,10,2000
24007,0.0375,10,2000
24015,0.036,10,2000
24016,0.033,10,2000
24029,0.0185,10,2000
24040,0.0175,10,2000
24056,0.014,10,2000
24001,0.012,10,2000
24049,0.0105,10,2000
24034,0.01,10,2000
24033,0.008,10,2000
24022,0.007,10,2000
24044,0.0065,10,2000
24036,0.006,10,2000
24050,0.006,10,2000
24055,0.004,10,2000
24010,0.004,10,2000
24025,0.004,10,2000
24046,0.0035,10,2000
24002,0.002,10,2000
24039,0.001,10,2000
24026,0.0005,10,2000
24041,0.0005,10,2000
24057,0.0,10,2000
24054,0.0,10,2000
24053,0.0,10,2000
24003,0.0,10,2000
24042,0.0,10,2000
24012,0.0,10,2000
24038,0.0,10,2000
24031,0.0,10,2000
