,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,-7.027,0.078,-7.169,-6.882,0.001,0.002,3043.0,1478.0,1.0
beta[0],0.06,0.349,-0.613,0.687,0.009,0.007,1476.0,1276.0,1.0
beta[1],-0.312,0.207,-0.71,0.069,0.007,0.004,962.0,1197.0,1.0
beta[2],-0.07,0.17,-0.381,0.243,0.005,0.004,1378.0,1239.0,1.0
beta[3],0.073,0.194,-0.263,0.457,0.005,0.004,1579.0,1462.0,1.0
beta[4],0.108,0.158,-0.187,0.401,0.004,0.003,1268.0,1271.0,1.0
beta[5],-0.107,0.133,-0.351,0.15,0.004,0.003,1114.0,1148.0,1.0
beta[6],-0.042,0.217,-0.44,0.359,0.007,0.004,933.0,1360.0,1.0
beta[7],-0.23,0.209,-0.612,0.159,0.005,0.004,1563.0,1419.0,1.0
beta[8],-0.044,0.103,-0.242,0.139,0.002,0.002,2168.0,1673.0,1.0
beta[9],0.031,0.116,-0.184,0.252,0.003,0.002,2082.0,1550.0,1.0
beta[10],0.172,0.127,-0.072,0.409,0.003,0.002,1731.0,1617.0,1.0
gamma[0],0.542,0.195,0.188,0.922,0.006,0.004,1018.0,1594.0,1.0
gamma[1],0.329,0.237,-0.098,0.783,0.006,0.004,1395.0,1653.0,1.0
structured_scale,0.156,0.118,0.0,0.367,0.003,0.002,1360.0,985.0,1.0
unstructured_scale,0.092,0.073,0.0,0.22,0.002,0.002,875.0,557.0,1.0
overdispersion_alpha,5.366,1.121,3.332,7.369,0.02,0.025,3038.0,1720.0,1.0
