feature,status,reason,nonzero_count,nunique
ambientalagua_kernel_intensity,keep,passes_filters,58,58
ambientalagua_nearest_source_m,keep,passes_filters,58,58
ambientalagua_count_within_1000m,drop,constant_or_all_zero,0,1
ambientalagua_count_within_5000m,drop,too_sparse_nonzero_lt_5,4,3
ambientalagua_count_within_10000m,keep,passes_filters,11,5
ambientalladrilleras_kernel_intensity,keep,passes_filters,58,58
ambientalladrilleras_nearest_source_m,keep,passes_filters,58,58
ambientalladrilleras_count_within_1000m,drop,too_sparse_nonzero_lt_5,1,2
ambientalladrilleras_count_within_5000m,drop,too_sparse_nonzero_lt_5,2,3
ambientalladrilleras_count_within_10000m,drop,too_sparse_nonzero_lt_5,4,5
ambientalminasmetales_kernel_intensity,keep,passes_filters,58,58
ambientalminasmetales_nearest_source_m,keep,passes_filters,58,58
ambientalminasmetales_count_within_1000m,drop,constant_or_all_zero,0,1
ambientalminasmetales_count_within_5000m,drop,constant_or_all_zero,0,1
ambientalminasmetales_count_within_10000m,drop,constant_or_all_zero,0,1
ambientalretc_kernel_intensity,keep,passes_filters,58,58
ambientalretc_nearest_source_m,keep,passes_filters,58,58
ambientalretc_count_within_1000m,drop,constant_or_all_zero,0,1
ambientalretc_count_within_5000m,keep,passes_filters,5,5
ambientalretc_count_within_10000m,keep,passes_filters,11,10
