geo_id,top_k_selection_probability,successful_bootstrap_fits,requested_bootstrap_fits,ranking_stability_method
24019,1.0,100,100,asymptotic_coefficient_draws
24028,1.0,100,100,asymptotic_coefficient_draws
24043,0.99,100,100,asymptotic_coefficient_draws
24030,0.99,100,100,asymptotic_coefficient_draws
24004,0.94,100,100,asymptotic_coefficient_draws
24045,0.9,100,100,asymptotic_coefficient_draws
24013,0.79,100,100,asymptotic_coefficient_draws
24047,0.73,100,100,asymptotic_coefficient_draws
24024,0.7,100,100,asymptotic_coefficient_draws
24051,0.66,100,100,asymptotic_coefficient_draws
24027,0.36,100,100,asymptotic_coefficient_draws
24017,0.17,100,100,asymptotic_coefficient_draws
24020,0.16,100,100,asymptotic_coefficient_draws
24008,0.13,100,100,asymptotic_coefficient_draws
24018,0.12,100,100,asymptotic_coefficient_draws
24048,0.11,100,100,asymptotic_coefficient_draws
24032,0.07,100,100,asymptotic_coefficient_draws
24052,0.07,100,100,asymptotic_coefficient_draws
24023,0.05,100,100,asymptotic_coefficient_draws
24009,0.02,100,100,asymptotic_coefficient_draws
24005,0.02,100,100,asymptotic_coefficient_draws
24006,0.01,100,100,asymptotic_coefficient_draws
24058,0.01,100,100,asymptotic_coefficient_draws
24002,0.0,100,100,asymptotic_coefficient_draws
24044,0.0,100,100,asymptotic_coefficient_draws
24042,0.0,100,100,asymptotic_coefficient_draws
24057,0.0,100,100,asymptotic_coefficient_draws
24056,0.0,100,100,asymptotic_coefficient_draws
24025,0.0,100,100,asymptotic_coefficient_draws
24033,0.0,100,100,asymptotic_coefficient_draws
24001,0.0,100,100,asymptotic_coefficient_draws
24055,0.0,100,100,asymptotic_coefficient_draws
24034,0.0,100,100,asymptotic_coefficient_draws
24014,0.0,100,100,asymptotic_coefficient_draws
24053,0.0,100,100,asymptotic_coefficient_draws
24050,0.0,100,100,asymptotic_coefficient_draws
24049,0.0,100,100,asymptotic_coefficient_draws
24054,0.0,100,100,asymptotic_coefficient_draws
24046,0.0,100,100,asymptotic_coefficient_draws
24003,0.0,100,100,asymptotic_coefficient_draws
24015,0.0,100,100,asymptotic_coefficient_draws
24012,0.0,100,100,asymptotic_coefficient_draws
24037,0.0,100,100,asymptotic_coefficient_draws
24038,0.0,100,100,asymptotic_coefficient_draws
24039,0.0,100,100,asymptotic_coefficient_draws
24040,0.0,100,100,asymptotic_coefficient_draws
24007,0.0,100,100,asymptotic_coefficient_draws
24041,0.0,100,100,asymptotic_coefficient_draws
24011,0.0,100,100,asymptotic_coefficient_draws
24010,0.0,100,100,asymptotic_coefficient_draws
24026,0.0,100,100,asymptotic_coefficient_draws
24029,0.0,100,100,asymptotic_coefficient_draws
24035,0.0,100,100,asymptotic_coefficient_draws
24031,0.0,100,100,asymptotic_coefficient_draws
24036,0.0,100,100,asymptotic_coefficient_draws
24022,0.0,100,100,asymptotic_coefficient_draws
24021,0.0,100,100,asymptotic_coefficient_draws
24016,0.0,100,100,asymptotic_coefficient_draws
